z,eigen_real,eigen_imag,eigen_abs
2.0862138271331787,4.7664531322723487e-07,-5.543244425819916e-08,4.798578023726687e-07
2.11075758934021,-4.987060240809761e-07,-1.9302274902636418e-07,5.347574030308977e-07
2.135301351547241,5.694049652293018e-07,7.445178843654091e-07,9.37298722162645e-07
2.1598448753356934,-1.2961067306721884e-06,-2.02340009920132e-06,2.4029233484948408e-06
2.1843886375427246,1.3976755770952798e-06,3.455712759406821e-06,3.7276598147276975e-06
2.208932399749756,-1.8118377042480813e-06,-2.3979928503213214e-06,3.0055158586717077e-06
2.233475923538208,2.5783556946231924e-06,1.8370277934015415e-06,3.1658473118148923e-06
2.2580196857452393,-1.3370148909260386e-06,-8.845959283603205e-07,1.603158998674063e-06
2.2825634479522705,5.001731837358453e-07,2.500288287442823e-07,5.591847896104553e-07
2.3071072101593018,-1.6786487459484243e-07,-2.5708040954338405e-07,3.070324951755697e-07
2.331650733947754,1.487723434737275e-07,4.773213776171006e-07,4.99968906746161e-07
2.356194496154785,-2.1115518265302227e-08,2.1501686800203097e-07,2.160511944818059e-07
2.3807382583618164,7.446078924326268e-07,-1.2453318744685497e-07,7.549499508236501e-07
2.4052817821502686,-2.1997496666286893e-06,-1.398312601707348e-06,2.6065641614828135e-06
2.4298255443573,2.443997129005992e-06,1.7288685484313102e-06,2.9936780762708133e-06
2.454369306564331,-2.4621178091963247e-06,-1.1516967692604425e-06,2.7181665796427287e-06
2.4789130687713623,7.473057614634782e-07,7.188355850535439e-07,1.0369139305920139e-06
2.5034565925598145,7.088327218092082e-07,-4.488719129386318e-07,8.390052572735387e-07
2.5280003547668457,-5.604720193016996e-07,1.0656481038788079e-07,5.705128773595997e-07
2.552544116973877,3.381819241544328e-07,4.522797680410562e-07,5.647335676264216e-07
2.577087640762329,5.24813957033341e-07,-8.052282100642776e-07,9.611566780605095e-07
2.6016314029693604,-1.4295457745805456e-06,5.174812696689679e-07,1.5203249606841623e-06
2.6261751651763916,9.018334059555235e-07,8.187401350493355e-08,9.05542293978998e-07
2.6507186889648438,-4.869808279613997e-07,-2.3630192233364522e-07,5.412845141887457e-07
2.675262451171875,6.051007492365018e-07,6.305061352229396e-07,8.738906700957183e-07
2.6998062133789062,-2.812400384647401e-07,-1.2133325699644795e-06,1.2455006561910182e-06
2.7243499755859375,-3.5868304426852957e-07,1.620491080720373e-07,3.9359044662273343e-07
2.7488934993743896,1.1671371272699745e-06,1.208930916119627e-06,1.6803937139259506e-06
2.773437261581421,3.6483969411862287e-07,-1.2673636468942974e-06,1.318832292550415e-06
2.797981023788452,-1.4723265356093554e-06,1.0382246199532468e-06,1.8015703674673687e-06
2.8225245475769043,1.5255952424362863e-06,-1.1018740713543398e-06,1.8819052348264565e-06
2.8470683097839355,-1.3860287797285579e-06,-1.6461973903055386e-08,1.3861265363669439e-06
2.871612071990967,6.383671275947776e-07,4.857303150323405e-07,8.021511880780479e-07
2.896155834197998,-3.04594040436341e-07,-7.018008112561191e-07,7.650502651127456e-07
2.92069935798645,7.338407156031471e-07,9.172459233214725e-07,1.1746753933435398e-06
2.9452431201934814,-6.481979033045126e-07,-1.1753435402164988e-06,1.3422343161225684e-06
2.9697868824005127,6.054762857721985e-08,-1.7854149100585942e-07,1.8852872284328547e-07
2.994330406188965,2.9511757119302837e-07,9.729008352616898e-07,1.016676160869215e-06
3.018874168395996,1.949518997819762e-08,-6.802196078140424e-07,6.804989179175642e-07
3.0434179306030273,-1.0395287289866615e-07,3.315469888893562e-07,3.4746166065551054e-07
3.0679616928100586,5.112455676636826e-07,3.712909047833503e-07,6.318456824499159e-07
3.0925052165985107,-1.4880709471423222e-06,-2.1080173423067703e-06,2.5803279363668387e-06
3.117048978805542,1.2687926801225519e-06,2.7181475220773325e-06,2.9996934538228588e-06
