model,kx,t_nu,response,response_imag,p_max,j_max
original_sugama,0.05,9.148552691657892,1.4040999749672593e-06,4.969801850137684e-17,24,10
original_sugama,0.05,9.198544782869137,1.218316941673821e-06,9.063917229526928e-17,24,10
original_sugama,0.05,9.248536874080385,2.4441250153125876e-06,3.245241001429369e-17,24,10
original_sugama,0.05,9.298528965291627,3.885575196211858e-06,-6.723171952015149e-17,24,10
original_sugama,0.05,9.348521056502872,4.212918505971488e-06,-1.1516217640581135e-16,24,10
original_sugama,0.05,9.398513147714118,3.184100228042174e-06,-6.958454636763061e-17,24,10
original_sugama,0.05,9.448505238925364,1.8084047763052788e-06,2.363204355591239e-17,24,10
original_sugama,0.05,9.498497330136608,1.3586293762401275e-06,7.686342962372241e-17,24,10
original_sugama,0.05,9.548489421347854,2.194744436413649e-06,4.2950358647978755e-17,24,10
original_sugama,0.05,9.5984815125591,3.483358623612425e-06,-4.324886354827532e-17,24,10
original_sugama,0.05,9.648473603770343,4.0218493449064485e-06,-1.0039104842569064e-16,24,10
original_sugama,0.05,9.69846569498159,3.356147242209383e-06,-7.731031857669575e-17,24,10
original_sugama,0.05,9.748457786192835,2.1559186095650024e-06,1.3214006592308776e-18,24,10
original_sugama,0.05,9.79844987740408,1.5436591401695474e-06,6.091863887974224e-17,24,10
original_sugama,0.05,9.848441968615326,2.04560967614825e-06,4.7592811310966856e-17,24,10
original_sugama,0.05,9.89843405982657,3.1426606967250354e-06,-2.328346530308433e-17,24,10
original_sugama,0.05,9.948426151037816,3.799645850788497e-06,-8.4195584448636e-17,24,10
original_sugama,0.05,9.99841824224906,3.43794114925933e-06,-7.970600454684339e-17,24,10
original_sugama,0.05,10.048410333460309,2.439821986693398e-06,-1.6801814352823508e-17,24,10
original_sugama,0.05,10.098402424671551,1.748614942601061e-06,4.423153819276153e-17,24,10
original_sugama,0.05,10.1483945158828,1.9775327643452023e-06,4.745622226575138e-17,24,10
original_sugama,0.05,10.198386607094044,2.867101832261689e-06,-7.584968381360674e-18,24,10
original_sugama,0.05,10.248378698305286,3.5682144276051016e-06,-6.786922611898125e-17,24,10
original_sugama,0.05,10.298370789516534,3.4486948647669796e-06,-7.788027781349958e-17,24,10
original_sugama,0.05,10.348362880727777,2.659209982577607e-06,-3.0657265905954766e-17,24,10
original_sugama,0.05,10.398354971939025,1.9543464050077586e-06,2.794556494026193e-17,24,10
original_sugama,0.05,10.448347063150267,1.9715662332773255e-06,4.364669486188587e-17,24,10
original_sugama,0.05,10.498339154361515,2.655220258841727e-06,3.9042575590252816e-18,24,10
original_sugama,0.05,10.54833124557276,3.3439719403655468e-06,-5.2407903779775727e-17,24,10
original_sugama,0.05,10.598323336784006,3.4067531201198504e-06,-7.292302307316292e-17,24,10
original_sugama,0.05,10.64831542799525,2.817496520776826e-06,-4.04210406934456e-17,24,10
original_sugama,0.05,10.698307519206496,2.1470012179493342e-06,1.2925499849925539e-17,24,10
original_sugama,0.05,10.74829961041774,2.0101342947871635e-06,3.7240793738776717e-17,24,10
original_sugama,0.05,10.798291701628989,2.501951580636923e-06,1.148092097595009e-17,24,10
original_sugama,0.05,10.848283792840231,3.1383305993044624e-06,-3.85328926686436e-17,24,10
original_sugama,0.05,10.89827588405148,3.328703080717309e-06,-6.587591417034724e-17,24,10
original_sugama,0.05,10.948267975262722,2.921006401410141e-06,-4.649415406680411e-17,24,10
original_sugama,0.05,10.99826006647397,2.317401448773223e-06,-2.5718973609076645e-19,24,10
original_sugama,0.05,11.048252157685214,2.077749893349822e-06,2.9218318668228864e-17,24,10
original_sugama,0.05,11.09824424889646,2.3999663223731285e-06,1.5614855003121705e-17,24,10
original_sugama,0.05,11.148236340107704,2.958375778174704e-06,-2.6695929462849785e-17,24,10
original_sugama,0.05,11.19822843131895,3.228806130383564e-06,-5.765482662407565e-17,24,10
original_sugama,0.05,11.248220522530197,2.9777634427684544e-06,-4.939577280600698e-17,24,10
original_sugama,0.05,11.29821261374144,2.4603271773148512e-06,-1.1259913473714409e-17,24,10
original_sugama,0.05,11.348204704952686,2.1614121121615335e-06,2.0426593622900546e-17,24,10
original_sugama,0.05,11.398196796163932,2.340760799814061e-06,1.6868387696753457e-17,24,10
original_sugama,0.05,11.448188887375176,2.8076187727460445e-06,-1.711746199616621e-17,24,10
original_sugama,0.05,11.498180978586422,3.118741089950266e-06,-4.9027140593203336e-17,24,10
original_sugama,0.05,11.548173069797668,2.9965153243812586e-06,-4.9711632084801866e-17,24,10
original_sugama,0.05,11.598165161008913,2.57375276722965e-06,-1.9966669880286428e-17,24,10
original_sugama,0.05,11.648157252220155,2.2507317052636496e-06,1.1553048834462156e-17,24,10
original_sugama,0.05,11.6981493434314,2.315508695501093e-06,1.5841655267342964e-17,24,10
original_sugama,0.05,11.748141434642648,2.686769937340504e-06,-9.832977273298989e-18,24,10
original_sugama,0.05,11.798133525853892,3.007595699709507e-06,-4.0605540769985526e-17,24,10
original_sugama,0.05,11.848125617065138,2.985979315377102e-06,-4.805353210672466e-17,24,10
original_sugama,0.05,11.898117708276384,2.6580788566431356e-06,-2.6416886416306586e-17,24,10
original_sugama,0.05,11.948109799487629,2.3378623593102525e-06,3.1349412902423698e-18,24,10
original_sugama,0.05,11.998101890698877,2.3157111770698213e-06,1.3130139086044148e-17,24,10
original_sugama,0.05,12.04809398191012,2.594467478419938e-06,-4.736865416668369e-18,24,10
original_sugama,0.05,12.098086073121364,2.9020108779912893e-06,-3.285083071994008e-17,24,10
original_sugama,0.05,12.148078164332611,2.9543070013392034e-06,-4.49953042185747e-17,24,10
original_sugama,0.05,12.198070255543856,2.7154348222811355e-06,-3.077647152441525e-17,24,10
original_sugama,0.05,12.248062346755102,2.417281650714639e-06,-4.4437459791474145e-18,24,10
original_sugama,0.05,12.298054437966346,2.333639635285538e-06,9.295963309049345e-18,24,10
original_sugama,0.05,12.348046529177592,2.5279451970454873e-06,-1.607601855376472e-18,24,10
original_sugama,0.05,12.398038620388837,2.8064417404994595e-06,-2.6064980635594068e-17,24,10
original_sugama,0.05,12.448030711600085,2.908721742827429e-06,-4.1060843649053375e-17,24,10
original_sugama,0.05,12.498022802811327,2.749065849153572e-06,-3.3300531117643805e-17,24,10
original_sugama,0.05,12.548014894022574,2.4854981827686393e-06,-1.0949453228627048e-17,24,10
original_sugama,0.05,12.598006985233818,2.362606036568676e-06,4.81882045550738e-18,24,10
original_sugama,0.05,12.647999076445064,2.483592303065703e-06,-1.7155693592607116e-19,24,10
original_sugama,0.05,12.697991167656308,2.7234854461295395e-06,-2.0424929128712936e-17,24,10
original_sugama,0.05,12.747983258867556,2.8553245291912113e-06,-3.67035387418514e-17,24,10
original_sugama,0.05,12.7979753500788,2.762818021189698e-06,-3.42855004903962e-17,24,10
original_sugama,0.05,12.847967441290043,2.540705566267544e-06,-1.6263571624698616e-17,24,10
original_sugama,0.05,12.89795953250129,2.3970944255554604e-06,1.1456834054892741e-19,24,10
original_sugama,0.05,12.947951623712536,2.457414639785877e-06,-1.1246629366667118e-19,24,10
original_sugama,0.05,12.99794371492378,2.6542342376945e-06,-1.6000015570571517e-17,24,10
original_sugama,0.05,13.047935806135026,2.7990234345941884e-06,-3.229161605523013e-17,24,10
original_sugama,0.05,13.09792789734627,2.760727970131268e-06,-3.4058360752544016e-17,24,10
original_sugama,0.05,13.147919988557517,2.5824253778427123e-06,-2.0364887836209866e-17,24,10
original_sugama,0.05,13.19791207976876,2.432783958846139e-06,-4.491978906514775e-18,24,10
original_sugama,0.05,13.247904170980007,2.445394621844639e-06,-1.1060473920775705e-18,24,10
original_sugama,0.05,13.297896262191252,2.59862259002284e-06,-1.2761053668737705e-17,24,10
original_sugama,0.05,13.347888353402498,2.74355395790563e-06,-2.8105750352888597e-17,24,10
original_sugama,0.05,13.397880444613742,2.746717732409197e-06,-3.293051459223566e-17,24,10
original_sugama,0.05,13.447872535824988,2.611169948939373e-06,-2.3316229978846337e-17,24,10
original_sugama,0.05,13.497864627036233,2.466486581451652e-06,-8.756332235814466e-18,24,10
original_sugama,0.05,13.54785671824748,2.443748905581485e-06,-2.843697975898867e-18,24,10
original_sugama,0.05,13.597848809458725,2.5557549129395544e-06,-1.0619575797539401e-17,24,10
original_sugama,0.05,13.64784090066997,2.6915702865831565e-06,-2.435008021987967e-17,24,10
original_sugama,0.05,13.697832991881214,2.7243774774161787e-06,-3.120065535185097e-17,24,10
original_sugama,0.05,13.74782508309246,2.628134849821467e-06,-2.5229965498191518e-17,24,10
original_sugama,0.05,13.797817174303706,2.4960346349141175e-06,-1.2521455492261225e-17,24,10
original_sugama,0.05,13.84780926551495,2.4491004301904597e-06,-5.0514309591358336e-18,24,10
original_sugama,0.05,13.897801356726196,2.524190804363137e-06,-9.44712787765642e-18,24,10
original_sugama,0.05,13.94779344793744,2.644779501448283e-06,-2.1154103029995817e-17,24,10
original_sugama,0.05,13.997785539148689,2.696832875775941e-06,-2.9127529883285064e-17,24,10
original_sugama,0.05,14.047777630359931,2.6349326734075874e-06,-2.6255293374921902e-17,24,10
original_sugama,0.05,14.097769721571176,2.5201326364705717e-06,-1.5689343050259457e-17,24,10
original_sugama,0.05,14.147761812782422,2.458578884436166e-06,-7.489846649884909e-18,24,10
original_sugama,0.05,14.197753903993668,2.5021874269115776e-06,-9.08077573651249e-18,24,10
