t,phi_zonal_real
4.162076187133789062e+01,7.987297137594367093e-06
4.182076644897460938e+01,-4.661249914087232487e-06
4.202077102661132812e+01,-1.629837480644403158e-05
4.222077560424804688e+01,-2.669643675243538194e-05
4.242078018188476562e+01,-3.564611402728095501e-05
4.262078475952148438e+01,-4.296100192679010513e-05
4.282078933715820312e+01,-4.848085465944901664e-05
4.302079391479492188e+01,-5.207601095017562898e-05
4.322079849243164062e+01,-5.364978420108005035e-05
4.342080307006835938e+01,-5.314128555320625524e-05
4.362080764770507812e+01,-5.052710828029833499e-05
4.382081222534179688e+01,-4.582255742135178238e-05
4.402081680297851562e+01,-3.908205359727789105e-05
4.422082138061523438e+01,-3.039883832978030267e-05
4.442082595825195312e+01,-1.990389175251769369e-05
4.462083053588867188e+01,-7.763993552322672988e-06
4.482083511352539062e+01,5.820791328265243409e-06
4.502083969116210938e+01,2.062054102669812173e-05
4.522084426879882812e+01,3.637934121264745671e-05
4.542084884643554688e+01,5.281982075138170433e-05
4.562085342407226562e+01,6.964843994787329247e-05
4.582085800170898438e+01,8.656044503009450661e-05
4.602086257934570312e+01,1.032460436324431384e-04
4.622086715698242188e+01,1.193959345142797261e-04
4.642087173461914062e+01,1.347075612645270385e-04
4.662087631225585938e+01,1.488906420047898989e-04
4.682088088989257812e+01,1.616729247312685214e-04
4.702088546752929688e+01,1.728054841586911352e-04
4.722089004516601562e+01,1.820678440341608716e-04
4.742089462280273438e+01,1.892721244197266507e-04
4.762089920043945312e+01,1.942669270718612136e-04
4.782090377807617188e+01,1.969405514027041716e-04
4.802090835571289062e+01,1.972233227950655036e-04
4.822091293334960938e+01,1.950892369740206628e-04
4.842091751098632812e+01,1.905570077367548117e-04
4.862092208862304688e+01,1.836895867530286876e-04
4.882092666625976562e+01,1.745939452643669029e-04
4.902093124389648438e+01,1.634189931827257313e-04
4.922093582153320312e+01,1.503534399471478738e-04
4.942094039916992188e+01,1.356225494245666440e-04
4.962094497680664062e+01,1.194842473097039215e-04
4.982094955444335938e+01,1.022247773313262085e-04
5.002095413208007812e+01,8.415326613794416705e-05
5.022095870971679688e+01,6.559661556048058560e-05
5.042096328735351562e+01,4.689323435883247047e-05
5.062096786499023438e+01,2.838692642484418288e-05
5.082097244262695312e+01,1.042031513194963737e-05
5.102097702026367188e+01,-6.671655479546022821e-06
5.122098159790039062e+01,-2.256798212433577542e-05
5.142098617553710938e+01,-3.696805693217422134e-05
5.162099075317382812e+01,-4.959749462683434322e-05
5.182099533081054688e+01,-6.021379638302238148e-05
5.202099990844726562e+01,-6.861103783200423693e-05
5.222100448608398438e+01,-7.462422918953915535e-05
5.242100906372070312e+01,-7.813277859498743644e-05
5.262101364135742188e+01,-7.906298778913936631e-05
5.282101821899414062e+01,-7.738985654401494239e-05
5.302102279663085938e+01,-7.313768656613756157e-05
5.322102737426757812e+01,-6.637973953480302066e-05
5.342103195190429688e+01,-5.723712024127363784e-05
5.362103652954101562e+01,-4.587641917117606029e-05
5.382104110717773438e+01,-3.250661294236222720e-05
5.402104568481445312e+01,-1.737511347538880650e-05
5.422105026245117188e+01,-7.630300030617437603e-07
5.442105484008789062e+01,1.702023039371442797e-05
5.462105941772460938e+01,3.564285125329158581e-05
5.482106399536132812e+01,5.475702192728921244e-05
5.502106857299804688e+01,7.400540881724655576e-05
5.522107315063476562e+01,9.302812448569490944e-05
5.542107772827148438e+01,1.114694542173542394e-04
5.562108230590820312e+01,1.289844662996662893e-04
5.582108688354492188e+01,1.452458004712676488e-04
5.602109146118164062e+01,1.599494668408799958e-04
5.622109603881835938e+01,1.728207103626926752e-04
5.642110061645507812e+01,1.836192786110664465e-04
5.662110519409179688e+01,1.921434526583835206e-04
5.682110977172851562e+01,1.982344854452084044e-04
5.702111434936523438e+01,2.017788572995224741e-04
5.722111892700195312e+01,2.027109535118783027e-04
5.742112350463867188e+01,2.010140538617236311e-04
5.762112808227539062e+01,1.967207400766632017e-04
5.782113265991210938e+01,1.899122700976893117e-04
5.802113723754882812e+01,1.807171665427731140e-04
5.822114181518554688e+01,1.693086410238718001e-04
5.842114639282226562e+01,1.559016400883564879e-04
5.862115097045898438e+01,1.407485815343852099e-04
5.882115554809570312e+01,1.241346541013223421e-04
5.902116012573242188e+01,1.063725133159947083e-04
5.922116470336914062e+01,8.779624972655663780e-05
5.942116928100585938e+01,6.875510970041846912e-05
5.962117385864257812e+01,4.960683432699059166e-05
