model,coordinate,kx,t_nu,abscissa,normalized_distribution,p_max,j_max
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.6500000000000001,0.10668462666522335,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.7000000000000002,0.10909236738080377,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.75,0.1109227358146263,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.8,0.11222736190459458,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.85,0.11305435328217885,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.9000000000000001,0.11344850709511359,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,1.9500000000000002,0.11345150883974842,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.0,0.1131021191950253,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.0500000000000003,0.11243634975065084,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.1,0.11148762843378213,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.15,0.11028695536021388,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.2,0.10886304976655171,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.25,0.10724248861817999,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.3000000000000003,0.10544983743311484,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.35,0.1035077738132733,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.4000000000000004,0.101437204131592,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.45,0.09925737378515623,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.5,0.09698597139050034,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.5500000000000003,0.09463922726700892,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.6,0.09223200652744055,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.6500000000000004,0.08977789707062556,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.7,0.08728929274999214,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.75,0.08477747197245798,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.8000000000000003,0.0822526719650967,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.85,0.07972415893162062,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.9000000000000004,0.07720029430688542,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,2.95,0.07468859730514642,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.0,0.0721958039464926,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.0500000000000003,0.06972792273562883,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.1,0.06729028715782263,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.1500000000000004,0.06488760514827706,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.2,0.06252400568333441,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.25,0.060203082634669565,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.3000000000000003,0.057927936020922575,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.35,0.05570121078498313,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.4000000000000004,0.05352513321931714,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.45,0.0514015451562693,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.5,0.04933193603514217,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.5500000000000003,0.047317472953006194,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.6,0.04535902880160445,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.6500000000000004,0.04345720858835201,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.7,0.0416123740352741,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.75,0.03982466654575215,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.8000000000000003,0.03809402862514493,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.85,0.03642022383769935,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.9000000000000004,0.034802855378658404,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,3.95,0.033241383337094775,24,10
coulomb,perpendicular,0.19999999999999998,5.001708725685093,4.0,0.03173514072174347,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-3.0,0.000649841131777137,24,10
